学号,姓名,班级,性别,数学,英语,Python,出勤率
20210001,许洋,计科2101,男,98.7,74.7,67.2,0.88
20210002,褚桂英,计科2102,男,89.3,64.9,75.1,0.84
20210003,蒋娜,计科2103,女,81.7,61.3,57.2,0.93
20210004,姜超,计科2104,男,53.1,68.6,67.9,0.91
20210005,喻艳,计科2101,男,83.9,86.5,83.3,0.90
20210006,李超,计科2102,男,81.8,76.6,80.4,0.92
20210007,邹艳,计科2103,男,,77.0,84.1,0.83
20210008,严强,计科2104,女,84.3,58.2,62.7,0.86
20210009,华平,计科2101,女,84.4,77.9,96.9,0.89
20210010,孙杰,计科2102,女,64.3,75.2,78.7,0.89
20210011,张文,计科2103,女,73.3,75.8,67.4,0.88
20210012,魏雨轩,计科2104,男,74.8,97.3,64.0,0.92
20210013,韩霞,计科2101,女,80.9,83.9,80.6,0.94
20210014,吕平,计科2102,女,56.8,69.7,83.4,0.87
20210015,姜超,计科2103,女,72.8,缺考,83.2,0.99
20210016,曹敏,计科2104,男,60.6,86.9,63.3,0.97
20210017,孙可欣,计科2101,女,73.4,82.6,87.1,0.86
20210018,柏宇轩,计科2102,男,74.2,78.4,65.7,0.86
20210019,李思远,计科2103,女,67.8,83.3,77.6,0.87
20210020,张丽,计科2104,女,86.7,62.9,83.1,0.84
20210021,韩思远,计科2101,男,69.1,70.8,85.7,0.94
20210022,严艳,计科2102,男,87.2,83.7,71.1,0.98
20210023,钱一鸣,计科2103,男,65.2,68.6,-1,0.93
20210024,戚佳怡,计科2104,男,73.1,91.4,72.5,0.85
20210025,秦若曦,计科2101,男,76.0,69.8,74.8,0.85
20210026,施桂英,计科2102,男,76.4,75.9,90.3,0.93
20210027,魏勇,计科2103,男,62.3,47.4,83.7,0.96
20210028,施军,计科2104,男,82.8,79.4,67.3,0.90
20210029,孔明,计科2101,女,64.2,100.0,76.5,0.91
20210030,魏若曦,计科2102,男,83.9,85.1,85.5,0.97
20210031,尤洋,计科2103,女,200,87.8,92.7,0.85
20210032,朱梓萱,计科2104,男,91.0,71.7,81.9,0.95
20210033,秦军,计科2101,女,53.9,64.6,76.6,0.92
20210034,韩梓萱,计科2102,女,66.0,75.7,71.7,1.00
20210035,何磊,计科2103,女,67.1,67.3,76.9,0.88
20210036,朱可欣,计科2104,男,74.6,76.8,77.4,0.89
20210037,喻浩然,计科2101,男,54.2,62.9,65.0,0.90
20210038,蒋娟,计科2102,男,84.4,65.8,62.2,0.92
20210039,孔杰,计科2103,男,79.4,78.7,80.3,0.93
20210040,朱雨轩,计科2104,男,84.5,75.4,82.4,0.90
20210041,孔敏,计科2101,男,89.0,82.1,76.7,0.84
20210042,许静,计科2102,男,76.2,61.5,66.8,0.89
20210043,华佳怡,计科2103,男,73.8,78.9,86.4,0.96
20210044,何文,计科2104,男,89.4,79.0,58.3,0.91
20210045,许宇轩,计科2101,男,77.6,78.9,100.0,0.90
20210046,朱建国,计科2102,女,90.4,72.0,67.7,0.99
20210047,褚佳怡,计科2103,男,83.4,61.7,65.5,0.98
20210048,孙刚,计科2104,女,78.3,66.7,73.5,0.94
20210049,喻明,计科2101,女,66.0,70.4,73.0,0.90
20210050,华丽,计科2102,女,67.3,65.4,74.1,0.90
20210051,卫明,计科2103,女,65.0,81.5,84.8,0.90
20210052,严丽,计科2104,女,71.5,88.9,61.2,0.91
20210053,严勇,计科2101,女,91.4,85.2,69.6,1.35
20210054,施桂英,计科2102,男,63.9,86.3,74.2,0.83
20210055,秦强,计科2103,女,92.0,78.2,87.7,0.84
20210056,吕刚,计科2104,男,72.4,65.8,82.8,0.83
20210057,水涛,计科2101,男,92.3,76.2,90.4,0.82
20210058,韩建国,计科2102,男,78.3,82.4,69.5,0.92
20210059,韩若曦,计科2103,女,76.7,90.1,91.2,0.98
20210060,卫一鸣,计科2104,女,90.2,61.1,,0.89
20210061,严强,计科2101,男,81.3,82.7,87.6,0.98
20210062,冯俊杰,计科2102,女,80.5,70.6,69.0,0.91
20210063,魏勇,计科2103,男,83.5,90.7,67.4,0.85
20210064,赵若曦,计科2104,女,77.4,64.6,93.5,0.99
20210065,严秀兰,计科2101,男,61.7,75.6,60.1,0.93
20210066,杨平,计科2102,女,72.3,73.1,71.3,0.84
20210067,朱辉,计科2103,男,71.4,68.8,67.0,0.96
20210068,华思远,计科2104,男,57.2,70.1,86.7,0.84
20210069,孔军,计科2101,男,84.3,74.5,73.9,0.86
20210070,水超,计科2102,女,75.8,58.1,76.2,0.85
20210071,沈雨轩,计科2103,女,91.0,81.2,80.7,0.88
20210072,钱超,计科2104,女,69.2,74.7,94.1,0.89
20210073,柏秀兰,计科2101,男,63.3,999,72.5,0.98
20210074,张娟,计科2102,女,76.2,72.0,89.3,0.98
20210075,孔佳怡,计科2103,女,62.4,75.9,79.6,0.99
20210076,何建国,计科2104,男,54.9,65.8,68.5,0.91
20210077,张秀兰,计科2101,男,83.5,77.1,91.6,0.85
20210078,钱霞,计科2102,男,44.3,88.6,70.1,0.88
20210079,卫浩然,计科2103,女,76.4,,84.8,0.96
20210080,华浩然,计科2104,女,69.4,62.3,81.6,0.82
20210081,朱丽,计科2101,女,81.4,70.3,73.7,0.97
20210082,喻梓萱,计科2102,女,84.3,71.8,81.4,0.84
20210083,赵文,计科2103,男,58.2,68.0,83.0,0.98
20210084,褚伟,计科2104,女,66.6,76.6,95.4,0.89
20210085,冯若曦,计科2101,女,53.9,72.0,78.9,0.89
20210086,姜若曦,计科2102,女,68.7,75.2,86.2,0.94
20210087,许可欣,计科2103,女,92.5,85.5,75.6,0.91
20210088,孙秀英,计科2104,男,,,,0.85
20210089,李勇,计科2101,男,96.5,65.9,74.8,0.96
20210090,秦可欣,计科2102,男,63.8,65.7,98.5,0.88
20210091,曹平,计科2103,男,67.1,58.2,93.8,0.99
20210092,王雨轩,计科2104,男,60.5,77.1,78.9,0.94
20210093,何刚,计科2101,男,77.2,70.0,86.7,1.00
20210094,柏玉兰,计科2102,女,75.5,63.3,88.2,0.90
20210095,吴雨轩,计科2103,女,67.9,74.7,76.6,0.94
20210096,曹平,计科2104,女,65.2,76.6,82.4,0.89
20210097,曹伟,计科2101,女,77.4,69.9,76.5,0.94
20210098,冯文,计科2102,男,69.4,83.2,87.7,0.95
20210099,孙俊杰,计科2103,男,82.7,71.0,81.4,0.92
20210100,尤杰,计科2104,女,69.3,71.3,71.4,无
20210101,郑磊,计科2101,男,80.5,76.4,87.4,0.99
20210102,周娜,计科2102,女,53.9,89.1,53.3,0.94
20210103,赵艳,计科2103,女,65.3,71.0,88.9,0.88
20210104,严建国,计科2104,男,74.7,60.5,83.3,0.86
20210105,杨桂英,计科2101,男,74.4,56.7,72.4,0.87
20210106,褚强,计科2102,男,52.7,80.3,74.9,0.84
20210107,戚俊杰,计科2103,女,55.8,70.5,85.6,0.89
20210108,杨若曦,计科2104,女,74.8,63.1,78.3,0.82
20210109,陈艳,计科2101,女,67.6,94.6,87.9,0.94
20210110,喻娟,计科2102,男,85.7,61.7,73.1,0.97
20210111,韩玉兰,计科2103,男,93.0,70.5,70.7,0.93
20210112,钱刚,计科2104,男,79.5,94.7,75.6,0.85
20210113,尤刚,计科2101,女,60.5,78.0,75.9,0.87
20210114,魏辉,计科2102,女,93.4,81.1,60.3,0.90
20210115,姜涛,计科2103,男,72.4,83.3,78.1,0.93
20210116,邹俊杰,计科2104,女,92.3,75.6,78.5,0.98
20210117,褚霞,计科2101,男,76.9,59.0,73.1,0.84
20210118,陶辉,计科2102,男,69.2,74.0,69.0,0.83
20210119,郑辉,计科2103,男,63.7,63.2,80.7,0.88
20210120,喻艳,计科2104,女,64.1,85.3,79.5,0.84
20210121,吴宇轩,计科2101,女,62.1,59.7,76.6,0.83
20210044,何文,计科2104,男,89.4,79.0,58.3,0.91
